,Gastronomie,Sportvereine,Schwimmbäder & Fitnesscenter,Anteil der Studenten %,Verfügbare Wohnungen,Miete pro qm,Stadtgröße in qkm,MINT Fachrichtung,Mensch Sozial Fachrichtung,Gesellschaft Wirtschaft Politik Fachrichtung,Verkehrsmittelangebot
Münster,366.0,41.0,56.0,20.0,330.0,10.0,303.28,4.0,3.0,9.0,2.0
Düsseldorf,1359.0,22.0,150.0,9.5,448.0,10.1,217.41,5.0,3.0,7.0,3.0
Köln,1512.0,582.0,213.0,10.0,970.0,10.6,405.02,2.0,6.0,12.0,4.0
Bochum,468.0,3.0,54.0,16.0,182.0,6.9,145.66,4.0,6.0,9.0,3.0
Aachen,301.0,10.0,45.0,24.5,455.0,8.7,160.85,10.0,5.0,8.0,2.0
